--------------------------------------------------------------------------------------------------------
| Назва      | Ціна  | Вага  | Сорт мяса  | Вид мяса        | Термін придатності | Дата помилки        |
--------------------------------------------------------------------------------------------------------
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 01.08.2022 21:49:18 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 01.08.2022 21:49:18 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 01.08.2022 21:49:18 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 01.08.2022 21:49:18 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 01.08.2022 22:20:51 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 01.08.2022 22:20:51 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 01.08.2022 22:20:51 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 01.08.2022 22:20:51 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 01.08.2022 22:22:43 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 01.08.2022 22:22:43 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 01.08.2022 22:22:43 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 01.08.2022 22:22:43 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 01.08.2022 22:26:07 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 01.08.2022 22:26:07 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 01.08.2022 22:26:07 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 01.08.2022 22:26:07 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 01.08.2022 22:27:01 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 01.08.2022 22:27:01 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 01.08.2022 22:27:01 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 01.08.2022 22:27:01 |
| Сос1cки    | 245   | 1059  | 2-й        | Телятина        | ·················· | 01.08.2022 22:27:44 |
| Рулет      | -2    | 445   | 1-й        | Свинина         | ·················· | 01.08.2022 22:27:44 |
| Кефір      | 108,4 | -3    | ·········· | ··············· | 13.08.2021         | 01.08.2022 22:27:44 |
| Ковбаски   | 97,9  | 1932  | 3-й        | Баранина        | ·················· | 01.08.2022 22:27:44 |
